game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,artist,category,compilation,designer,expansion,family,publisher,average_rating,users_rated
175621,4,40,13,2,20,Epic Card Game,40,2015,"Kaile Dutton,Vito Gesualdi","Card Game,Fantasy,Fighting,Prehistoric,Zombies",,"Robert Dougherty,Darwin Kastle","Epic Card Game: Keira, Wolf Caller Promo Card,Epic Card Game: Kickstarter expansion,Epic Card Game: Tyrants – Draka's Rage,Epic Card Game: Tyrants – Helion's Deceit,Epic Card Game: Tyrants – Markus' Command,Epic Card Game: Tyrants – Raxxa's Revenge,Epic Card Game: Uprising – Flames of Scarros,Epic Card Game: Uprising – Kark's Edict,Epic Card Game: Uprising – Velden's Wrath,Epic Card Game: Uprising – Will of Zannos",Crowdfunding: Kickstarter,"Devir,IELLO,White Wizard Games",6.63256,2660
175626,6,120,8,2,60,Street Kings,120,2016,,Racing,,Luca Vince Caltabiano,,"Admin: Unreleased Games,Crowdfunding: Kickstarter,Sports: Auto Racing",BOARD TO DEATH,7.5488,75
175634,5,15,8,3,15,Get The Cheese!,15,2015,Ryo Nyamo,"Animals,Party Game",,Hisashi Hayashi,,Animals: Mice,"Japon Brand,OKAZU Brand,Stronghold Games",6.00562,89
175640,4,135,14,1,60,Vinhos Deluxe Edition,135,2016,Ian O'Toole,"Economic,Industry / Manufacturing",,Vital Lacerda,"Vinhos Deluxe Edition: Connoisseur Expansion Pack,Vinhos Deluxe Edition: Experts Expansion Pack,Vinhos Deluxe Edition: Islands Expansion Pack,Vinhos Deluxe Edition: Tasting Room Expansion Pack","Crowdfunding: Giochistarter,Crowdfunding: Kickstarter,Crowdfunding: Spieleschmiede,Wine Games",Eagle-Gryphon Games,8.47733,796
175695,4,90,10,1,60,Minerva,90,2015,"Ryo Nyamo,Franz Vohwinkel",City Building,,Hisashi Hayashi,,Ancient Rome,"Japon Brand,OKAZU Brand,Pandasaurus Games",7.12892,186
175707,8,290,12,1,45,Apex Theropod Deck-Building Game: Exotic Predators,290,2014,Herschel Hoffmeyer,"Animals,Card Game,Prehistoric",Apex Theropod Deck-Building Game,Herschel Hoffmeyer,Apex TDBG: Exotic Predators Add-On – Quetzalcoatlus & Sarcosuchus Expansion Cards,Animals: Dinosaurs,Die-Hard Games LLC,7.45114,88
175739,6,60,7,2,20,Disney Pictopia,60,2014,,"Children's Game,Movies / TV / Radio theme,Party Game,Trivia",,,,"Celebrities: Walt Disney,Disney Theme Park Editions","Asmodee,Wonder Forge",5.92339,62
175742,6,10,6,2,10,Alien Wars,10,2015,Régis Torres,"Action / Dexterity,Card Game,Science Fiction",,Markus Geiger,,,"dV Giochi,IELLO,Origames",5.85737,76
175755,4,20,8,2,20,The Lord of the Rings: Journey to Mordor,20,2015,"Suzanne Helmigh,Jon Hodgson","Dice,Fantasy,Novel-based",,Michael Rieneck,,"Admin: Better Description Needed!,Tolkien Games","Devir,Edge Entertainment,Egmont Polska,Fantasy Flight Games,Giochi Uniti,Hobby Japan,Hobby World,KOSMOS",6.01093,225
175763,4,30,8,2,20,Behind the Throne,30,2016,Denis Martynets,"Card Game,Fantasy,Medieval,Number,Political",,"Oleksandr Nevskiy,Oleg Sidorenko",,,"2Geeks,Ares Games,Foxgames (Poland),IGames",6.59244,119
175846,2,20,13,2,10,Deck Building: The Deck Building Game,20,2015,Adam Rebottaro,Card Game,,Christopher Badell,Deck Building: The Deck Building Game – The Barbecue Grill Promo,"Admin: Better Description Needed!,Crowdfunding: Kickstarter,Rabbit Line (Dice Hate Me Games)",Greater Than Games (Dice Hate Me Games),5.66348,259
